Date;Folder;Filename;config;aoa;sideslip;vw;Dpa;Pressure;Temp;Density;;rows;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_05;without;9,85;20;4,99;11,71;1005,36;20,3;1,193;;17;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;20;10,03;47,22;1005,31;20,7;1,192;;1;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;14;10,03;47,22;1005,28;20,7;1,192;;2;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;12;10,03;47,19;1005,26;20,7;1,192;;3;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;10;10,03;47,24;1005,24;20,8;1,192;;4;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;8;10,03;47,22;1005,2;20,8;1,191;;5;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;6;10,03;47,25;1005,18;20,8;1,191;;6;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;4;10,03;47,24;1005,16;20,8;1,191;;7;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;2;10,03;47,23;1005,14;20,8;1,191;;8;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;0;10,03;47,27;1005,11;20,9;1,191;;9;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;-2;10,03;47,23;1005,1;20,9;1,191;;10;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;-4;10,03;47,22;1005,1;20,9;1,191;;11;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;-6;10,03;47,21;1005,09;20,9;1,191;;12;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;-8;10,03;47,26;1005,09;20,9;1,191;;13;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;-10;10,03;47,2;1005,1;21;1,191;;14;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;-12;10,03;47,16;1005,09;21;1,19;;15;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;-14;10,03;47,2;1005,06;21;1,19;;16;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_10;without;9,85;-20;10,03;47,15;1005,05;21;1,19;;17;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;-20;14,99;105,22;1005,09;21,7;1,188;;1;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;-14;14,99;105,2;1005,09;21,8;1,187;;2;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;-12;14,99;105,15;1005,11;21,8;1,187;;3;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;-10;14,99;105,15;1005,11;21,9;1,187;;4;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;-8;14,99;105,14;1005,08;21,9;1,187;;5;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;-6;14,99;105,15;1005,06;21,9;1,187;;6;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;-4;14,99;105,11;1005,1;22;1,186;;7;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;-2;15;105,15;1005,11;22;1,186;;8;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;0;15;105,22;1005,11;22;1,186;;9;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;2;15;105,13;1005,09;22,1;1,186;;10;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;4;15;105,2;1005,1;22,1;1,186;;11;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;6;15,01;105,22;1005,09;22,2;1,186;;12;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;8;15;105,05;1005,12;22,2;1,186;;13;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;10;15;105,2;1005,16;22,3;1,185;;14;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;12;15;105,05;1005,14;22,3;1,185;;15;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;14;15;105,03;1005,05;22,3;1,185;;16;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_15;without;9,85;20;15;105,97;1005,03;22,4;1,185;;17;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;20;20,06;186,2;1005,03;23,1;1,182;;1;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;14;20,02;185,6;1005;23,3;1,181;;2;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;12;20,01;187,2;1005,05;23,5;1,18;;3;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;10;19,94;186,1;1005,06;23,6;1,18;;4;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;8;20,06;184,5;1005,02;23,8;1,179;;5;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;6;20,01;186,09;1005,01;23,9;1,178;;6;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;4;19,95;187,1;1004,99;24;1,178;;7;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;2;20,01;186;1004,98;24,1;1,178;;8;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;0;20,12;186;1004,95;24,2;1,177;;9;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;-2;19,98;186,5;1004,89;24,3;1,177;;10;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;-4;20;185,2;1004,9;24,4;1,177;;11;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;-6;19,96;184,6;1004,88;24,4;1,176;;12;;;;;;;;;
5-4-2024;data/;without_aoa_10_vw_20;without;9,85;-8;19,97;186,1;1004,88;24,5;1,176;;13;;;;;;;;;
